iter	Passed	Remaining
1161	16104	39333
1162	16116	39313
1163	16125	39289
1164	16136	39268
1165	16146	39243
1166	16156	39220
1167	16166	39197
1168	16174	39170
1169	16183	39144
1170	16196	39129
1171	16284	39293
1172	16380	39476
1173	16418	39521
1174	16448	39546
1175	16476	39566
1176	16513	39608
1177	16550	39649
1178	16580	39672
1179	16612	39701
1180	16642	39724
1181	16673	39750
1182	16719	39812
1183	16754	39848
1184	16786	39876
1185	16823	39916
1186	16863	39963
1187	16905	40014
1188	16946	40063
1189	16985	40107
1190	17022	40147
1191	17062	40194
1192	17097	40229
1193	17137	40275
1194	17176	40318
1195	17215	40361
1196	17250	40394
1197	17279	40415
1198	17306	40429
1199	17424	40657
1200	17504	40794
1201	17546	40845
1202	17576	40865
1203	17606	40887
1204	17650	40940
1205	17685	40973
1206	17717	40997
1207	17743	41009
1208	17771	41025
1209	17808	41063
1210	17844	41096
1211	17882	41136
1212	17912	41156
1213	17950	41194
1214	17988	41232
1215	18026	41270
1216	18066	41314
1217	18102	41347
1218	18138	41380
1219	18159	41379
1220	18173	41363
1221	18186	41342
1222	18196	41318
1223	18211	41302
1224	18223	41282
1225	18234	41257
1226	18243	41229
1227	18252	41202
1228	18262	41175
1229	18270	41146
1230	18279	41118
1231	18290	41094
1232	18302	41073
1233	18315	41053
1234	18324	41026
1235	18335	41002
1236	18344	40975
1237	18353	40946
1238	18363	40921
1239	18372	40893
1240	18381	40866
1241	18391	40840
1242	18400	40812
1243	18409	40785
1244	18419	40759
1245	18428	40730
1246	18437	40704
1247	18464	40716
1248	18475	40693
1249	18489	40676
1250	18500	40654
1251	18510	40628
1252	18520	40602
1253	18529	40576
1254	18539	40551
1255	18549	40524
1256	18559	40501
1257	18573	40483
1258	18586	40465
1259	18599	40447
1260	18611	40426
1261	18623	40404
1262	18635	40384
1263	18648	40365
1264	18660	40345
1265	18673	40326
1266	18687	40310
1267	18700	40291
1268	18719	40284
1269	18730	40263
1270	18741	40239
1271	18754	40221
1272	18763	40195
1273	18773	40169
1274	18782	40142
1275	18792	40117
1276	18801	40091
1277	18811	40067
1278	18821	40041
1279	18831	40016
1280	18840	39991
1281	18851	39966
1282	18861	39943
1283	18872	39920
1284	18882	39895
1285	18894	39874
1286	18904	39850
1287	18913	39823
1288	18922	39797
1289	18932	39773
1290	18941	39746
1291	18952	39723
1292	18961	39697
1293	18971	39672
1294	18980	39646
1295	18994	39629
1296	19004	39606
1297	19014	39581
1298	19024	39557
1299	19034	39532
1300	19043	39506
1301	19052	39480
1302	19061	39454
1303	19071	39429
1304	19086	39415
1305	19096	39392
1306	19106	39368
1307	19115	39341
1308	19125	39317
1309	19134	39292
1310	19144	39266
1311	19153	39242
1312	19163	39217
1313	19172	39191
1314	19182	39167
1315	19191	39141
1316	19201	39117
1317	19210	39091
1318	19220	39067
1319	19229	39041
1320	19237	39014
1321	19247	38990
1322	19256	38964
1323	19265	38939
1324	19275	38915
1325	19293	38907
1326	19306	38889
1327	19320	38873
1328	19329	38847
1329	19339	38824
1330	19349	38800
1331	19358	38775
1332	19368	38751
1333	19377	38726
1334	19386	38701
1335	19396	38677
1336	19405	38652
1337	19416	38629
1338	19425	38604
1339	19473	38656
1340	19490	38645
1341	19503	38628
1342	19513	38605
1343	19523	38582
1344	19532	38556
1345	19541	38532
1346	19551	38508
1347	19563	38488
1348	19572	38463
1349	19581	38437
1350	19593	38418
1351	19603	38395
1352	19613	38372
1353	19622	38346
1354	19633	38325
1355	19642	38299
1356	19651	38275
1357	19661	38252
1358	19672	38229
1359	19680	38204
1360	19693	38185
1361	19703	38163
1362	19716	38145
1363	19726	38122
1364	19735	38098
1365	19745	38074
1366	19755	38051
1367	19764	38027
1368	19774	38003
1369	19783	37979
1370	19793	37955
1371	19803	37933
1372	19813	37910
1373	19822	37885
1374	19832	37862
1375	19843	37840
1376	19852	37816
1377	19860	37790
1378	19871	37768
1379	19882	37747
1380	19897	37734
1381	19910	37717
1382	19923	37700
1383	19935	37681
1384	19947	37662
1385	19960	37645
1386	19974	37630
1387	19986	37612
1388	19999	37594
1389	20008	37570
1390	20020	37551
1391	20031	37529
1392	20040	37506
1393	20051	37485
1394	20061	37463
1395	20071	37440
1396	20081	37417
1397	20091	37394
1398	20101	37373
1399	20126	37378
1400	20137	37357
1401	20147	37333
1402	20156	37310
1403	20166	37288
1404	20176	37265
1405	20186	37243
1406	20196	37220
1407	20206	37198
1408	20215	37174
1409	20225	37151
1410	20236	37131
1411	20247	37110
1412	20257	37088
1413	20267	37066
1414	20277	37044
1415	20286	37020
1416	20296	36997
1417	20310	36983
1418	20322	36964
1419	20331	36941
1420	20342	36920
1421	20351	36896
1422	20361	36874
1423	20372	36853
1424	20382	36830
1425	20392	36809
1426	20401	36785
1427	20410	36760
1428	20420	36740
1429	20429	36716
1430	20472	36753
1431	20484	36735
1432	20497	36717
1433	20510	36700
1434	20522	36682
1435	20535	36666
1436	20547	36648
1437	20558	36627
1438	20568	36606
1439	20577	36582
1440	20586	36558
1441	20596	36537
1442	20605	36513
1443	20614	36489
1444	20624	36467
1445	20634	36444
1446	20643	36421
1447	20652	36398
1448	20661	36375
1449	20670	36352
1450	20680	36330
1451	20691	36310
1452	20701	36288
1453	20714	36271
1454	20725	36251
1455	20734	36228
1456	20744	36207
1457	20754	36185
1458	20764	36164
1459	20774	36142
1460	20784	36119
1461	20793	36096
1462	20802	36073
1463	20811	36050
1464	20821	36028
1465	20832	36008
1466	20841	35986
1467	20851	35964
1468	20861	35943
1469	20871	35921
1470	20880	35898
1471	20891	35878
1472	20900	35856
1473	20913	35839
1474	20925	35821
1475	20938	35805
1476	20951	35789
1477	20964	35772
1478	20976	35755
1479	20989	35739
1480	21001	35721
1481	21014	35705
1482	21027	35689
1483	21039	35671
1484	21052	35654
1485	21062	35633
1486	21072	35612
1487	21101	35623
1488	21138	35647
1489	21170	35663
1490	21199	35672
1491	21235	35695
1492	21277	35728
1493	21310	35745
1494	21342	35761
1495	21382	35789
1496	21410	35798
1497	21438	35807
1498	21576	35999
1499	21651	36085
1500	21689	36110
1501	21720	36123
1502	21748	36132
1503	21780	36145
1504	21818	36171
1505	21848	36182
1506	21877	36191
1507	21908	36203
1508	21938	36215
1509	21974	36235
1510	22016	36266
1511	22049	36282
1512	22077	36289
1513	22118	36318
1514	22156	36343
1515	22192	36363
1516	22235	36394
1517	22274	36419
1518	22314	36446
1519	22355	36475
1520	22395	36501
1521	22437	36531
1522	22480	36562
1523	22520	36588
1524	22556	36607
1525	22645	36714
1526	22774	36883
1527	22812	36906
1528	22849	36927
1529	22886	36947
1530	22919	36960
1531	22950	36973
1532	22982	36984
1533	23008	36987
1534	23022	36970
1535	23032	36948
1536	23042	36925
1537	23053	36903
1538	23065	36884
1539	23076	36861
1540	23085	36838
1541	23096	36816
1542	23105	36792
1543	23115	36768
1544	23123	36743
1545	23132	36719
1546	23142	36695
1547	23151	36671
1548	23160	36647
1549	23170	36624
1550	23179	36600
1551	23189	36577
1552	23199	36554
1553	23208	36530
1554	23217	36505
1555	23228	36484
1556	23241	36467
1557	23254	36449
1558	23269	36433
1559	23283	36417
1560	23294	36397
1561	23308	36380
1562	23320	36361
1563	23334	36344
1564	23346	36324
1565	23357	36303
1566	23369	36284
1567	23384	36269
1568	23396	36250
1569	23407	36229
1570	23419	36210
1571	23431	36190
1572	23444	36172
1573	23457	36155
1574	23469	36135
1575	23481	36116
1576	23497	36102
1577	23506	36079
1578	23516	36056
1579	23527	36036
1580	23537	36014
1581	23547	35991
1582	23557	35969
1583	23567	35945
1584	23577	35924
1585	23587	35901
1586	23599	35882
1587	23612	35865
1588	23626	35848
1589	23640	35832
1590	23654	35816
1591	23665	35795
1592	23676	35775
1593	23689	35757
1594	23700	35737
1595	23713	35719
1596	23726	35701
1597	23736	35678
1598	23753	35667
1599	23860	35791
1600	23874	35774
1601	23886	35755
1602	23898	35735
1603	23910	35715
1604	23919	35692
1605	23929	35670
1606	23938	35647
1607	23949	35626
1608	23959	35603
1609	23972	35586
1610	23985	35568
1611	23998	35551
1612	24011	35533
1613	24023	35514
1614	24035	35494
1615	24047	35475
1616	24062	35461
1617	24074	35442
1618	24086	35422
1619	24100	35406
1620	24113	35388
1621	24125	35370
1622	24138	35351
1623	24150	35333
1624	24163	35315
1625	24176	35297
1626	24188	35278
1627	24202	35263
1628	24214	35243
1629	24231	35231
1630	24249	35222
1631	24264	35206
1632	24281	35196
1633	24296	35180
1634	24311	35165
1635	24327	35152
1636	24343	35139
1637	24358	35124
1638	24374	35112
1639	24388	35096
1640	24401	35078
1641	24414	35060
1642	24424	35038
1643	24438	35021
1644	24450	35003
1645	24465	34989
1646	24480	34974
1647	24493	34956
1648	24503	34935
1649	24514	34914
1650	24525	34893
1651	24535	34873
1652	24545	34850
1653	24555	34829
1654	24564	34806
1655	24574	34783
1656	24584	34762
1657	24593	34739
1658	24602	34715
1659	24611	34693
1660	24620	34670
1661	24630	34648
1662	24639	34626
1663	24649	34604
1664	24658	34581
1665	24670	34562
